BR_CODE,P_CODE,P_NAME,BAL_QTY,MRP,NET_SALE_RATE,GEN_DATE
RKDA,42111,SCOTCH BRITE SPONGE WIPE 1PC,1,70,69.3,24-Sep-23
RKDA,33710,SCOTCH BRITE STEEL -0 15GM,57,50,49.5,24-Sep-23
RKDA,42238,SENS REPAIR & PRO PASTE 70GM,1,185,183.15,24-Sep-23
RKDA,56506,SENSODYNE DAILY CARE BRUSH,2,35,31.5,24-Sep-23
RKDA,42232,SENSODYNE DEEP CLEAN 70 GM,3,135,133.65,24-Sep-23
RKDA,57809,SENSODYNE DEEP CLEAN BRUSH,19,80,72,24-Sep-23
RKDA,45848,SENSODYNE FRESH GEL 150GM,7,220,217.8,24-Sep-23
RKDA,44429,SENSODYNE FRESH GEL 75GM,15,130,128.7,24-Sep-23
RKDA,45847,SENSODYNE FRESH MINT 150GM,8,220,217.8,24-Sep-23
RKDA,39107,SENSODYNE FRESH MINT 75GM,7,130,128.7,24-Sep-23
RKDA,38756,SENSODYNE RAPID RELIEF 40 GM,2,100,99,24-Sep-23
RKDA,38755,SENSODYNE RAPID RELIEF 80 G ,8,190,188.1,24-Sep-23
RKDA,40740,SENSODYNE REPAIR&PROTECT100G,7,235,232.65,24-Sep-23
RKDA,52061,SENSODYNE SENS SOFT BRUSH 2+1,8,120,108,24-Sep-23
RKDA,39810,SENSODYNE SENS TOOTH BRUSH,33,50,45,24-Sep-23
RKDA,40478,SENSODYNE WHITENING PASTE70G,1,135,133.65,24-Sep-23
RKDA,12810,SESA OIL 100 ML,1,170,168.3,24-Sep-23
RKDA,2747,SHAH JEERA 20 GM,5,23,23,24-Sep-23
RKDA,3636,SHAH JEERA 50 GM,2,49,49,24-Sep-23
RKDA,32427,SHAKAR FUTANA 100GM,9,10,10,24-Sep-23
RKDA,41676,SHAKAR FUTANA 200GM,3,20,18,24-Sep-23
RKDA,3466,SHAKAR FUTANA BIG 200 GM,9,25,18,24-Sep-23
RKDA,58356,SHARA FOOD GULAB JAM MX 200G,1,130,65,24-Sep-23
RKDA,54007,SHARA FOODS BASUNDI MIX 100GM,23,100,50,24-Sep-23
RKDA,52634,SHARA FOODS DHOKLA MIX 200GM,6,100,50,24-Sep-23
RKDA,52632,SHARA FOODS M DAL BH MIX200GM,13,100,50,24-Sep-23
RKDA,32407,SHENGDANA BEST (BULK),44.875,175,160,24-Sep-23
RKDA,26005,SHENGDANA SUPER 1 KG,31,190,190,24-Sep-23
RKDA,26007,SHENGDANA SUPER 250 GM,39,54,54,24-Sep-23
RKDA,26006,SHENGDANA SUPER 500 GM,35,108,98,24-Sep-23
RKDA,485,SHIP MATCH BOX,162,10,9.9,24-Sep-23
RKDA,62525,SHIVONA HIMA PINK SALT 1 KG,5,125,80,24-Sep-23
RKDA,59398,SHOPING BAG 1 (12*16),49,14,14,24-Sep-23
RKDA,59399,SHOPING BAG 2* (15*18),45,16,16,24-Sep-23
RKDA,59460,SHOPING BAG 3 (18*18),49,18,18,24-Sep-23
RKDA,61748,SHREE SIDDHI AWLA PICK 200GM,1,70,69.3,24-Sep-23
RKDA,61744,SHREE SIDDHI LIME PICK 200 GM,6,63,62.37,24-Sep-23
RKDA,28428,SHREE SIDDHI MANGO PICK 500GM,58,130,65,24-Sep-23
RKDA,61743,SHREE SIDDHI MIXED PICK 500GM,18,130,65,24-Sep-23
RKDA,61750,SHREE SIDDHI SW LIME PKL 200G,2,70,69.3,24-Sep-23
RKDA,61749,SHREE SIDDHI SW MANGO PK 200G,1,70,69.3,24-Sep-23
RKDA,62149,SHREENATHJI KHICHIA CHILL 200,5,140,70,24-Sep-23
RKDA,8439,SHREENATHJI NACHNI PAPAD 200G,2,140,70,24-Sep-23
RKDA,62147,SHREENATHJI P-PAPAD CHILL200G,1,140,70,24-Sep-23
RKDA,11006,SHREENATHJI POHA PAPAD 200GM,3,140,70,24-Sep-23
RKDA,62148,SHREENATHJI POTATO WAFFER 200,5,140,70,24-Sep-23
RKDA,62153,SHREENATHJI RICE KURDAI 200GM,1,140,70,24-Sep-23
RKDA,62151,SHREENATHJI SABUDANA PAPAD200,2,140,70,24-Sep-23
RKDA,62150,SHREENATHJI SAGO PAPAD 200GM,5,140,70,24-Sep-23
RKDA,62753,SHREENATHJI TOMATO PAPAD 200G,5,140,70,24-Sep-23
RKDA,62152,SHREENATHJI WHEAT KURDAI 200G,1,140,70,24-Sep-23
RKDA,31340,SHRI SAIRAJ CHATKDAR BHEL 250,7,80,50,24-Sep-23
RKDA,2916,SHRI SAIRAJ TIKHA BHEL 250 GM,3,80,50,24-Sep-23
RKDA,22954,SHRIYAN GUD CUBE 500 GM,13,100,78,24-Sep-23
RKDA,1913,SHUBH GAYTRI DRY DHOOP 24PC,8,35,25,24-Sep-23
RKDA,1922,SHUBH KASHI DRY DHOOP 100GM,13,85,70,24-Sep-23
RKDA,25209,SHUBH LABH GANGAJAL 50ML,11,15,14.85,24-Sep-23
RKDA,3202,SHUBH LABH GAU MUTRA 50ML,9,15,14.85,24-Sep-23
RKDA,1910,SHUBH SANSKAR WET DHOOP 20PC,10,40,30,24-Sep-23
RKDA,1892,SHUBHLABH AGAR CHANDAN RO250G,21,140,70,24-Sep-23
RKDA,1838,SHUBHLABH AGAR GULAB ROL 250G,30,140,70,24-Sep-23
RKDA,1841,SHUBHLABH AGAR MOGRA ROL 250G,72,140,70,24-Sep-23
RKDA,1867,SHUBHLABH AGR LAVENDER RO250G,38,140,70,24-Sep-23
RKDA,1879,SHUBHLABH AGR MASTANI ROL250G,23,200,100,24-Sep-23
RKDA,1875,SHUBHLABH AGR VAISHNAVI R250G,15,250,85,24-Sep-23
RKDA,1927,SHUBHLABH GHEE DIYA 40PC,8,75,60,24-Sep-23
RKDA,3123,SHUBHLABH JAGDAMB ROLL 250G,15,140,70,24-Sep-23
RKDA,3121,SHUBHLABH KASTURI ROLL 250G,35,140,70,24-Sep-23
RKDA,1941,SHUBHLABH LONG COTT WIKS 55PC,15,20,19.8,24-Sep-23
RKDA,1942,SHUBHLABH POOJA DHOOP 100GM,5,85,70,24-Sep-23
RKDA,3122,SHUBHLABH RADHE RAD ROLL 250G,8,140,70,24-Sep-23
RKDA,1931,SHUBHLABH ROUND COT WIKS 55PC,26,20,19.8,24-Sep-23
RKDA,1571,SIKANDAR KHARI SHING 200 GM,10,70,65,24-Sep-23
RKDA,2865,SIKANDAR RADHE R/CHANA 200 GM,9,50,45,24-Sep-23
RKDA,2849,SIKANDAR RADHE R/CHANA 500 GM,6,120,105,24-Sep-23
RKDA,3423,SILVER & GOLD LINE CUP SET 6P,12,129,129,24-Sep-23
RKDA,90197,SILVER PAPER DRON BIG,16,15,15,24-Sep-23
RKDA,24627,SILVER PLATE  NO -1,16,60,60,24-Sep-23
RKDA,8688,SILVER PLATE NO- 0*,18,80,80,24-Sep-23
RKDA,24628,SILVER PLATE NO- 2,20,50,50,24-Sep-23
RKDA,24629,SILVER PLATE NO- 3,8,50,50,24-Sep-23
RKDA,25950,SILVER PLATE NO- 4,11,40,40,24-Sep-23
RKDA,25174,SILVER PLATE NO- 5,20,25,25,24-Sep-23
RKDA,90199,SILVER PLATE THALI (BIG) 34C,23,65,60,24-Sep-23
RKDA,55875,SILVER PLATE THALI KHACH ,62,65,60,24-Sep-23
RKDA,60546,SILVER PRASAD DRON BIG,10,15,15,24-Sep-23
RKDA,37216,SILVER PRASAD DRON SMALL,54,10,10,24-Sep-23
RKDA,1232,SINK BRUSH 2 IN 1 RS 49 (JMD),15,49,48.51,24-Sep-23
RKDA,3031,SM MANCHURIN PAKODE ATTA 200G,13,40,35,24-Sep-23
RKDA,22792,SMI & JON GIN.GAR PAS 200 (R,10,50,49,24-Sep-23
RKDA,34314,SMI & JON PERI PERI MASALA10G,92,5,4.95,24-Sep-23
RKDA,47202,SMIT&JON MASALA PASTA  10GM,11,5,4.95,24-Sep-23
RKDA,36322,SNAPIN CHILLY FLAKES 50GM,3,65,64.35,24-Sep-23
RKDA,45739,SNAPIN MIXED HERBS 25 GM.,13,99,98.01,24-Sep-23
RKDA,46773,SNAPIN OREGANO 25G,6,79,78.21,24-Sep-23
RKDA,45738,SNAPIN PASTA MIX SEASON 35GM,9,99,98.01,24-Sep-23
RKDA,36321,SNAPIN PIZZA MIX 50GM,4,99,98.01,24-Sep-23
RKDA,36167,SOCIETY ELAICHI ADRAK TEA250G,17,170,168.3,24-Sep-23
RKDA,29740,SOCIETY MASALA TEA 100 GM(R),24,67,66.33,24-Sep-23
RKDA,30857,SOCIETY MASALA TEA 250 GM J*,9,175,165,24-Sep-23
RKDA,59475,SOCIETY MASALA TEA 250GM (R),13,170,168.3,24-Sep-23
RKDA,61471,SOCIETY MASALA TEA 500GM (R),24,330,300,24-Sep-23
RKDA,8219,SOCIETY TEA 1 KG (R)*,23,570,500,24-Sep-23
RKDA,6197,SOCIETY TEA 100 GM (R) ,33,55,54.45,24-Sep-23
RKDA,1503,SOCIETY TEA 250 GM (R)*,79,145,143.55,24-Sep-23
RKDA,1505,SOCIETY TEA 500 GM (R) ,32,290,280,24-Sep-23
