Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
ram-bandhu-mixed-pickle200g-1,RAM BANDHU MIXED PICKLE 200 GM  || S1,Title,Default Title,,,,,43373,,,1 Dombivli East (RKM),0,0,0,65,65
dabur-meswak-complete-oral-care-toothpaste-100-g-1,DABUR MESWAK COMPLETE ORAL CARE TOOTHPASTE - 100 G || S1,Title,Default Title,,,,,43383,,,1 Dombivli East (RKM),0,0,0,2,2
colgate-strong-teeth-toothpaste-500-gm-2,COLGATE STRONG TEETH TOOTHPASTE 500 G || S2,Title,Default Title,,,,,43384,,,2 RKBB 421503 Badlapur Belavali,0,0,0,37,37
colgate-strong-teeth-toothpaste-500-gm-1,COLGATE STRONG TEETH TOOTHPASTE 500 G || S3,Title,Default Title,,,,,43384,,,3- 400612 RKDA - Diva,0,0,0,17,17
colgate-strong-teeth-toothpaste-500-gm-3,COLGATE STRONG TEETH TOOTHPASTE 500 G || S1,Title,Default Title,,,,,43384,,,1 Dombivli East (RKM),0,0,0,12,12
real-fruit-power-mixed-fruit-juice-1-l-3,REAL FRUIT POWER MIXED FRUIT JUICE 1 LTR || S1,Title,Default Title,,,,,43468,,,1 Dombivli East (RKM),0,0,0,8,8
cloth-wash-bar-2,RIN DETERGENT BAR 140 G || S2,Title,Default Title,,,,,43481,,,2 RKBB 421503 Badlapur Belavali,0,0,0,966,966
cloth-wash-bar-1,RIN DETERGENT BAR 140 G || S3,Title,Default Title,,,,,43481,,,3- 400612 RKDA - Diva,0,0,0,11,11
cloth-wash-bar-3,RIN DETERGENT BAR 140 G || S1,Title,Default Title,,,,,43481,,,1 Dombivli East (RKM),0,0,0,426,426
whisper-choice-sanitary-pads-for-women-xl-20-napkins-3,"WHISPER CHOICE SANITARY PADS FOR WOMEN, XL 20 NAPKINS || S3",Title,Default Title,,,,,43488,,,3- 400612 RKDA - Diva,0,0,0,21,21
whisper-choice-sanitary-pads-for-women-xl-20-napkins-1,"WHISPER CHOICE SANITARY PADS FOR WOMEN, XL 20 NAPKINS || S1",Title,Default Title,,,,,43488,,,1 Dombivli East (RKM),0,0,0,5,5
cadbury-dairy-milk-chocolate-shots-18-g-1,CADBURY DAIRY MILK CHOCOLATE SHOTS 18 G || S1,Title,Default Title,,,,,43566,,,1 Dombivli East (RKM),0,0,0,47,47
parle-happy-happy-jam-in-creams-biscuit-150-g-2,PARLE HAPPY HAPPY JAM IN CREAMS BISCUIT 150 G || S2,Title,Default Title,,,,,43571,,,2 RKBB 421503 Badlapur Belavali,0,0,0,23,23
exo-cyclozan-round-500-g-box-with-free-scrubber-3,"EXO CYCLOZAN - ROUND, 500 G BOX || S3",Title,Default Title,,,,,43607,,,3- 400612 RKDA - Diva,0,0,0,17,17
ariel-matic-top-load-2-kg-ref-1,ARIEL MATIC TOP LOAD 2 KG REF || S1,Title,Default Title,,,,,43609,,,1 Dombivli East (RKM),0,0,0,2,2
