P_CODE,P_NAME,Category,BRAND,Sub-Category,Inv,Listing Status
46602,CLASSY-S SP KAS CHILLI POW 50,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
46617,PATANJALI COW GHEE 1LTR,OIL/GHEE/VANASPATI,PATANJALI,GHEE,,
46618,PATANJALI COW GHEE 500ML,OIL/GHEE/VANASPATI,PATANJALI,GHEE,,
46637,SUNF MOMS M CAS&ALM BIS 100GM,BISCUITS/BAKERY,SUNFEAST,BISCUITS,,
46704,PATANJALI SAUNDARYA F/W 60GM,COSMETICS,PATANJALI,FACE WASH,,
46736,INDULEKHA BRINGHA OIL 100ML ,HAIR CARE,INDULEKHA (OIL),HAIR OIL,,
46749,PATANJALI COW GHEE 200ML,OIL/GHEE/VANASPATI,PATANJALI,GHEE,,
46755,PATANJALI ALOE VERA SOAP 150,BATH SOAPS,PATANJALI,BATH SOAP,,
46756,PATANJALI HER NEEM&RO DE 500G,WASHING/DETERGENTS,PATANJALI,WASHING POWDER/DETERGENT,,
46771,CLASSY-SP SPL.MIX MASALA 50GM,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
46773,SNAPIN OREGANO 25G,FAST FOOD (RADY TO EAT),SNAPIN,READY TO EAT,,
46789,TOOR DAL PRE JALANA 250 GM,GROCERY,R.K.BAZAR(TAX),PULSES,,
46791,GT-GAJANI-INSTANT SAMB 20STK,POOJA ITEMS,VEEANA,DHOOP,,
46884,DABUR ALMOND H OIL 100 ML BT,HAIR CARE,DABUR,HAIR OIL,,
46896,KHUSHI PIRI PIRI MAGIC 40GM,FAST FOOD (RADY TO EAT),KHUSHI,READY TO EAT,,
46903,PATANJALI MUSTARD OIL 1LT BT,OIL/GHEE/VANASPATI,PATANJALI,MUSTARD OIL,,
46954,PATANJALI ALOEVERA GEL 150M ,COSMETICS,PATANJALI,FACE WASH,,
46998,FUN FOODS MAY VEG EGGLS100G ,JAM/KETCH-UP/SARBAT,FUN FOODS,MAYONNAISE,,
47010,SUNFE YIPPEE MAGIC NOODLE 120,FAST FOOD (RADY TO EAT),SUNFEAST,NOODLES,,
47042,TATA SAMPANN TOOR DAL 1KG,GROCERY,TATA,PULSES,,
47052,CLASSY SPICY CORIANDER 50GM,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
47202,SMIT&JON MASALA PASTA  10GM,SPICES/MASALA,SMITH & JONES,MASALA,,
47340,FORTUNE SUPER BASM RICE 1KG,GROCERY,FORTUNE,BASMATI BRANDED,,
47364,BAMBINO VERMICEL ROASTED 450G,FAST FOOD (RADY TO EAT),BAMBINO,VERMICILLY,,
47385,ONION UNIT 1 BAG 5KG,VEGETABLES/FRUITS,R.K.BAZAR,ONION,,
47478,FORTUNE SPL BIRYANI  BAS 1KG,GROCERY,FORTUNE,BASMATI BRANDED,,
47502,WAI WAI MAS DEL NOODELS 330G,FAST FOOD (RADY TO EAT),WAI WAI,NOODLES,,
47503,WAI WAI HAKKA VEG NDLS 180GM,FAST FOOD (RADY TO EAT),WAI WAI,NOODLES,,
47504,ACT-II CHEESE BAKES&HERBS 55G,FARSAN/CHIKKI,ACT-II,WAFERS  & FARSAN,,
47520,ARIEL COMPLETE POW 2+1 KG,WASHING/DETERGENTS,ARIEL,WASHING POWDER/DETERGENT,,
47621,CLASSY SP DHANA JEERA POW 50G,SPICES/MASALA,CLASSY SPICY,MASALA,,
47622,CLASSY S DHANA JEERA POW 100G,SPICES/MASALA,CLASSY SPICY,MASALA,,
47682,SANTOOR CLASSIC H/W 750 ML,BATH SOAPS,SANTOOR,HAND WASH,,
47845,PATAN. SAUNDARYA AL. GEL60ML,COSMETICS,PATANJALI,FACE WASH,,
47882,PARL H&S CHO CHIP SANDW 400G*,BISCUITS/BAKERY,PARLE,BISCUITS,,
47937,TOOR DAL ROYAL 4 KG,GROCERY,R.K.BAZAR(TAX),PULSES,,
47942,HERSHEY JOLLY RAN LOLLIPOPS9G,CHOCLATE/CONFECTIONRIES,HERSHEYS,CHOCLATES,,
49887,CLASSY SPI SPL AGARI MAS 200G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
49888,CLASSY-SP SPL.AGARI MASA 50GM,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
49889,CLASSY-SP SP.MALVANI MAS 50GM,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
49890,CLASSY-SP SL MALVNI MAS 100G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
49892,CLASSY-SP SP.AGARI MAS 100G ,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
49893,CLASSY-SP P.MALVANI MAS200G ,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
49902,CLASSY-SP PREM GARAM MAS50GM,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
